Epoch,Train_Accuracy_%,Train_Loss,Val_Accuracy_%,Val_Loss,Final_Bias,Final_Theta1,Final_Theta2,Final_Theta3,Final_Theta4
80,100.0,0.057464,100.0,0.061298,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
81,100.0,0.056817,100.0,0.060651,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
82,100.0,0.056184,100.0,0.060019,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
83,100.0,0.055566,100.0,0.0594,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
84,100.0,0.054962,100.0,0.058796,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
85,100.0,0.054372,100.0,0.058204,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
86,100.0,0.053794,100.0,0.057626,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
87,100.0,0.053229,100.0,0.057059,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
88,100.0,0.052676,100.0,0.056504,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
89,100.0,0.052135,100.0,0.055961,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
90,100.0,0.051605,100.0,0.05543,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
91,100.0,0.051086,100.0,0.054908,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
92,100.0,0.050578,100.0,0.054398,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
93,100.0,0.050081,100.0,0.053897,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
94,100.0,0.049593,100.0,0.053407,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
95,100.0,0.049115,100.0,0.052926,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
96,100.0,0.048647,100.0,0.052454,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
97,100.0,0.048188,100.0,0.051991,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
98,100.0,0.047738,100.0,0.051537,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
99,100.0,0.047296,100.0,0.051092,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
100,100.0,0.046863,100.0,0.050655,0.04354931257792674,0.7669959044188815,-0.8204353965275024,1.1157520899448228,1.127445284731256
